time,open,high,low,close,vwap,volume,count,sma,ema,rsi,macd,macdsignal,macdhist,upperband,middleband,lowerband
1702401360,41161.2,41178.0,41155.3,41178.0,41160.7,0.45708512,24,41229.56999999999,41215.7148184516,39.77902925375491,-23.43415248987003,-16.78712924907282,-6.6470232407972105,41319.49492646211,41229.57,41139.64507353789
1702401420,41168.3,41198.8,41168.3,41197.9,41191.8,0.41684825,17,41225.295,41214.01816907525,44.65962003794212,-21.847318458167138,-17.799167090891682,-4.048151367275455,41312.67036208988,41225.295,41137.91963791012
1702401480,41197.9,41210.0,41197.9,41204.3,41204.9,1.08475965,21,41220.455,41213.09262916332,46.170590045913166,-19.844558821270766,-18.2082454369675,-1.6363133843032678,41300.95114835493,41220.455,41139.958851645075
1702401540,41210.4,41219.0,41210.4,41219.0,41218.0,0.70904646,16,41215.515,41213.65523590967,49.57602676853307,-16.87664675452106,-17.941925700478212,1.0652789459571501,41282.50178302641,41215.515,41148.52821697359
1702401600,41220.5,41220.5,41210.4,41210.4,41218.1,0.21754787,15,41212.280000000006,41213.34521344208,47.67575138765579,-15.045072950037138,-17.362555150389998,2.3174822003528597,41273.4398430235,41212.280000000006,41151.12015697651
1702401660,41206.5,41217.3,41191.3,41191.3,41203.3,3.44526445,33,41208.095,41211.24566930474,43.67199659924948,-14.962272129421763,-16.882498546196352,1.9202264167745895,41262.60868540679,41208.09500000001,41153.581314593226
1702401720,41191.3,41191.4,41088.0,41088.0,41107.3,6.09074693,70,41198.745,41199.50798651381,29.32724949360474,-22.967345308374206,-18.09946789863192,-4.8678774097422846,41266.651979735565,41198.74500000001,41130.838020264455
1702401780,41088.1,41096.3,41022.6,41027.4,41050.8,38.50248654,140,41188.255,41183.116749702975,24.287301079402678,-33.811578194356116,-21.24188995777676,-12.569688236579356,41286.98322238922,41188.25500000001,41089.5267776108
1702401840,41027.5,41049.6,41013.4,41013.4,41019.3,0.82673476,34,41177.005,41166.95324973126,23.291456640734197,-43.0392640372811,-25.601364773677627,-17.437899263603473,41298.87772826989,41177.00500000001,41055.13227173014
1702401900,41013.1,41013.1,40953.6,40953.7,40984.0,9.71616772,129,41162.85,41146.643416423525,19.600704317214934,-54.54084965169022,-31.389261749280145,-23.15158790241008,41315.5243003833,41162.850000000006,41010.17569961671
